context,next_word,probability
(),บูด,0.5810147299509002
"('เน็ต',)",บูด,0.2559055118110236
"('ไม่',)",บูด,0.1821106821106821
(),บูด,0.5791190864600326
"('เน็ต', 'ไม่')",บูด,0.09434928603395126
"('นอกนั้น',)",บูด,0.10590551181102363
"('ไร้ประโยชน์',)",บูด,0.08728590250329381
"('นอกนั้น', 'ไร้ประโยชน์')",บูด,0.0509724845369523
"('มัน',)",บูด,0.07034313725490196
"('ดดด',)",บูด,0.06339869281045751
"('มัน', 'ดดด')",บูด,0.03927893738140418
"('อันนี้',)",บูด,0.05136005726556908
"('มาก',)",บูด,0.09022781774580335
"('อันนี้', 'มาก')",บูด,0.05873043394271047
"('ความ',)",บูด,0.04161979752530934
"('วงการแพทย์',)",บูด,0.037285902503293805
"('ความ', 'วงการแพทย์')",บูด,0.024182155321015763
"('นี้',)",บูด,0.03725490196078431
"('อย่าง',)",บูด,0.0336832895888014
"('นี้', 'อย่าง')",บูด,0.022193118235389272
"('ก็',)",บูด,0.03856589147286822
"('ดราม่า',)",บูด,0.02776209297948428
"('ก็', 'ดราม่า')",บูด,0.01849729331883777
"('เหมือนกัน',)",บูด,0.02569169960474308
"('ก็', 'เหมือนกัน')",บูด,0.0172331548603519
"('คือ',)",บูด,0.03915708812260536
"('คือ', 'มาก')",บูด,0.04590232762344754
"('ที่สุด',)",บูด,0.02442403032954214
"('มาก', 'ที่สุด')",บูด,0.01654798446804319
"('แนว',)",บูด,0.0211939484803053
"('นะ',)",บูด,0.026432291666666666
"('แนว', 'นะ')",บูด,0.01796782647366387
"('ค่ะ',)",บูด,0.025390625
"('น้ำทะเล',)",บูด,0.019104084321475624
"('ค่ะ', 'น้ำทะเล')",บูด,0.013142202562384506
"('ยัง',)",บูด,0.02019122609673791
"('เพราะ',)",บูด,0.01979440069991251
"('ยัง', 'เพราะ')",บูด,0.013647771268989669
"('ละ',)",บูด,0.019063406547865726
"('ละ', 'ไม่')",บูด,0.01954329895506366
"('แคนดิเดต',)",บูด,0.016452569169960476
"('แคนดิเดต', 'มาก')",บูด,0.0412029940398042
"('ซีน',)",บูด,0.017810273715785526
"('กล้อง',)",บูด,0.01558047614670466
"('ซีน', 'กล้อง')",บูด,0.010908153758799567
"('ก็', 'ค่ะ')",บูด,0.014613718298152015
"('ค่า',)",บูด,0.014822134387351778
"('เน็ต', 'ค่า')",บูด,0.010421689139311711
"('ตลอดมา',)",บูด,0.01436923583662714
"('ตอน',)",บูด,0.014156650802613534
"('ตลอดมา', 'ตอน')",บูด,0.009994713472974343
"('แค่',)",บูด,0.013756490738587925
"('ซีน', 'แค่')",บูด,0.009736865455790226
"('เลย',)",บูด,0.013370970138166691
"('เลย', 'มาก')",บูด,0.039237071350511035
"('แบบ',)",บูด,0.01885653409090909
"('แบบ', 'มาก')",บูด,0.03901518690596519
"('อะไร',)",บูด,0.012285902503293807
"('ๆ',)",บูด,0.014102233122499032
"('อะไร', 'ๆ')",บูด,0.00999922301627868
"('แวดล้อม',)",บูด,0.01188907710646841
"('ขนาด',)",บูด,0.013718011811023622
"('แวดล้อม', 'ขนาด')",บูด,0.009749675699003901
"('นั่ง',)",บูด,0.013481269386781198
"('นั่ง', 'นั่ง')",บูด,0.009595192361414819
"('จริง',)",บูด,0.014885390776028722
"('ๆจน',)",บูด,0.010897013614404918
"('แบน',)",บูด,0.010801884238453624
"('ๆจน', 'แบน')",บูด,0.007819822726655025
"('จ้า',)",บูด,0.014509803921568629
"('จ้า', 'ดดด')",บูด,0.01029360970814881
"('กู',)",บูด,0.012399018304530116
"('สุด',)",บูด,0.01425339366515837
"('กู', 'สุด')",บูด,0.010125674227702813
"('ทั้ง',)",บูด,0.014093137254901961
"('ๆ', 'ทั้ง')",บูด,0.010020117029357506
"('โคตร',)",บูด,0.013940698230511717
"('ดดดด',)",บูด,0.009976665555502643
"('โคตร', 'ดดดด')",บูด,0.007278063914219521
"('ว่า',)",บูด,0.009834922111136945
"('เรา',)",บูด,0.009766522658332567
"('ว่า', 'เรา')",บูด,0.007139864411228728
"('สลิ่ม',)",บูด,0.011587329992841804
"('วัน',)",บูด,0.01152348933911351
"('สลิ่ม', 'วัน')",บูด,0.00831275458847214
"('มึง',)",บูด,0.009447074664465968
"('มึง', 'ค่ะ')",บูด,0.01080429588399965
"('วันนี้',)",บูด,0.00932891325598198
"('ทั้งวัน',)",บูด,0.009271718106130686
"('วันนี้', 'ทั้งวัน')",บูด,0.006813162085969563
"('คือ', 'ทั้ง')",บูด,0.009368983064167549
"('ดดดดลัฟวี่',)",บูด,0.009107208345218207
"('นอกนั้น', 'ดดดดลัฟวี่')",บูด,0.006703073324191337
"('ไม่', 'ไม่')",บูด,0.014328349657690975
"('พอ',)",บูด,0.008952569169960473
"('คือ', 'พอ')",บูด,0.006599386770480269
"('กะทิ',)",บูด,0.010807472595337347
"('เด็กดี',)",บูด,0.008806938101999309
"('กะทิ', 'เด็กดี')",บูด,0.006502864841960702
"('ด',)",บูด,0.008714473931865236
"('กู', 'ด')",บูด,0.006441075862732959
"('บูด',)",บูด,0.010555250137438153
"('วัด',)",บูด,0.008539725133263227
"('วัด', 'มาก')",บูด,0.03606316527805424
"('นาน',)",บูด,0.00845707367446498
"('คือ', 'นาน')",บูด,0.006268698785421193
"('แล้ว',)",บูด,0.008377347931022421
"('เน่า',)",บูด,0.008338534082241176
"('แล้ว', 'เน่า')",บูด,0.006189764816947289
"('จะ',)",บูด,0.012153482082488168
"('จะ', 'ขนาด')",บูด,0.007440889570431826
"('คือ', 'ค่ะ')",บูด,0.009988870194970642
"('บ้ง',)",บูด,0.012044817927170867
