context,next_word,probability
(),เผือก,0.5783582089552238
"(' ',)",เผือก,0.2611731843575419
"('ไม่',)",เผือก,0.1912568306010929
(),เผือก,0.5762081784386617
"(' ', 'ไม่')",เผือก,0.10075241698192518
"('ขอ',)",เผือก,0.08183701657458564
"('นิ',)",เผือก,0.061237373737373736
"('ขอ', 'นิ')",เผือก,0.03814058011305718
"('รอ',)",เผือก,0.05113636363636364
"('ปะปน',)",เผือก,0.04734848484848485
"('รอ', 'ปะปน')",เผือก,0.03044516459150606
"('ต่อม',)",เผือก,0.05757220921155347
"('ทำงาน',)",เผือก,0.04456928838951311
"('ต่อม', 'ทำงาน')",เผือก,0.029337141263390366
"('อยาก',)",เผือก,0.09222583505764115
"('อยาก', 'ไม่')",เผือก,0.03592206215157035
"('เข้าไป',)",เผือก,0.03479036574487065
"('ให้',)",เผือก,0.036235955056179776
"('ตลอด',)",เผือก,0.029491341991341992
"('ให้', 'ตลอด')",เผือก,0.019946443284811866
"('อย่าง',)",เผือก,0.03570561088170998
"('อยากรู้',)",เผือก,0.029307909604519775
"('ต่อม', 'อยากรู้')",เผือก,0.020991082975971687
"('แบบ',)",เผือก,0.02770534550195567
"('อยาก', 'แบบ')",เผือก,0.018999412590727
"('ต้อง',)",เผือก,0.026331719128329295
"('สนุก',)",เผือก,0.02292319749216301
"('ต้อง', 'สนุก')",เผือก,0.0158999908999909
"('อันนี้',)",เผือก,0.0218108504398827
"('งู',)",เผือก,0.021306818181818184
"('อันนี้', 'งู')",เผือก,0.01488689288090486
"('ต่อ',)",เผือก,0.020387700534759357
"('อยาก', 'ต่อ')",เผือก,0.014306713187310202
"('ตื่น',)",เผือก,0.019570707070707072
"('ต่อม', 'ตื่น')",เผือก,0.013788951288951292
"('ความ',)",เผือก,0.027124375183769478
"('กู',)",เผือก,0.018502331002331
"('ความ', 'กู')",เผือก,0.013110331804693821
"('ไป',)",เผือก,0.03880182002022245
"('เรื่อง',)",เผือก,0.038537549407114624
"('ไป', 'เรื่อง')",เผือก,0.02650663360551779
"('ก็',)",เผือก,0.016551383399209488
"('ก็', 'ไป')",เผือก,0.026188532767408537
"('มา',)",เผือก,0.03500683060109289
"('ด้วย',)",เผือก,0.03218210361067504
"('เอาไว้',)",เผือก,0.015681818181818182
"('555',)",เผือก,0.015485739750445633
"('เอาไว้', '555')",เผือก,0.011175652304684563
"('เค้า',)",เผือก,0.015115780445969125
"('เร็ว',)",เผือก,0.01494107744107744
"('เค้า', 'เร็ว')",เผือก,0.01082314371788056
"('ตาม',)",เผือก,0.033518735362997654
"('นะ',)",เผือก,0.020007884880741178
"('ตาม', 'นะ')",เผือก,0.01420958043924937
"('ละ',)",เผือก,0.014156394453004623
"('ตาม', 'ละ')",เผือก,0.010312426591496358
"('การ',)",เผือก,0.01667129758266185
"('กัน',)",เผือก,0.016539092400218697
"('การ', 'กัน')",เผือก,0.011906906380008811
"('เสร็จ',)",เผือก,0.01628707627118644
"('ได้',)",เผือก,0.018928262748487468
"('ตาม', 'ได้')",เผือก,0.013504532891426441
"('กับ',)",เผือก,0.01314450474898236
"('อยาก', 'กับ')",เผือก,0.009650454365660333
"('ชอบ',)",เผือก,0.01848233186777398
"('ชอบ', 'นะ')",เผือก,0.013210395872154881
"('นาง',)",เผือก,0.012724071702944942
"('แค่',)",เผือก,0.012626262626262626
"('นาง', 'แค่')",เผือก,0.009309198671172216
"('สุด',)",เผือก,0.012438574938574939
"('อยาก', 'สุด')",เผือก,0.009184704184704184
"('จะ',)",เผือก,0.012260765550239234
"('ใน',)",เผือก,0.012175324675324676
"('จะ', 'ใน')",เผือก,0.009011050677717345
"('ขี้',)",เผือก,0.03605884365378036
"('เท่าไหร่',)",เผือก,0.011931818181818182
"('ขี้', 'เท่าไหร่')",เผือก,0.008850074822297044
"('ๆ',)",เผือก,0.011779379157427938
"('เรื่อง', 'ๆ')",เผือก,0.008748230108174134
"('แระ',)",เผือก,0.014426957223567393
"('ตาม', 'เรื่อง')",เผือก,0.022979130242123873
"('ข่าว',)",เผือก,0.011495771670190275
"('ไป', 'ข่าว')",เผือก,0.008558263548550096
"('ขี้', ' ')",เผือก,0.012172997947588369
"('เลิก',)",เผือก,0.01129979570990807
"('ที',)",เผือก,0.011237373737373737
"('เลิก', 'ที')",เผือก,0.008384589266942208
"('ไม่', 'ไม่')",เผือก,0.020947729725209748
"('ขี้', 'แบบ')",เผือก,0.010162452011583384
"('ต้อง', ' ')",เผือก,0.011920814788400666
"('วิชา',)",เผือก,0.010944976076555025
"('ทวิ',)",เผือก,0.010890151515151516
"('วิชา', 'ทวิ')",เผือก,0.008147665938881636
"('ตาม', 'มา')",เผือก,0.020715613480244012
"('ไม่ต้อง',)",เผือก,0.019016985497432425
"('ขอ', 'ด้วย')",เผือก,0.019821895276440734
"('ไปหา',)",เผือก,0.010632313231323132
"('ไปหา', 'มา')",เผือก,0.020579690124706344
"('ขี้', 'มา')",เผือก,0.02054543949339429
"('ไป', 'มา')",เผือก,0.020511812837211447
"('กล้า',)",เผือก,0.010311447811447811
"('วิจารณ์',)",เผือก,0.010268974145120935
"('กล้า', 'วิจารณ์')",เผือก,0.0077264470316241425
"('แป',)",เผือก,0.010186322686322687
"('ขอ', 'แป')",เผือก,0.007669866365518539
"('อ่ะ',)",เผือก,0.010106596942880129
"('อยาก', 'อ่ะ')",เผือก,0.0076151977628229235
"('น่า',)",เผือก,0.010029644268774705
"('อีก',)",เผือก,0.009992163009404389
"('น่า', 'อีก')",เผือก,0.007537782537782538
"('นี่แหละ',)",เผือก,0.009919106317411403
"('นี่แหละ', 'ไป')",เผือก,0.021815535073750586
"('ขอให้',)",เผือก,0.00984848484848485
"('เรื่อง', 'ขอให้')",เผือก,0.007438757072188158
"('ขี้', 'อย่าง')",เผือก,0.012936882450927749
"('อยาก', 'ด้วย')",เผือก,0.018253307349433607
"('ขก',)",เผือก,0.01250683433570257
"('55555',)",เผือก,0.009681818181818182
"('อยาก', '55555')",เผือก,0.00821115921115921
"('อยาก', 'อยาก')",เผือก,0.045389607706071915
"('ไม่ค่อย',)",เผือก,0.009588068181818182
"('ไม่ค่อย', 'กัน')",เผือก,0.009120221664984704
"('ทัน',)",เผือก,0.012320730117340287
"('อยาก', 'เรื่อง')",เผือก,0.02154464458903842
"('ของ',)",เผือก,0.012262455059065229
"('การ', 'ของ')",เผือก,0.009037817393452243
"('ทำ',)",เผือก,0.009413161465400272
"('ต่อม', 'ทำ')",เผือก,0.007136522066161468
"('ดราม่า',)",เผือก,0.009358288770053475
"('มา', 'ดราม่า')",เผือก,0.007098161794665829
"('วงการ',)",เผือก,0.009305006587615284
"('วงการ', 'ไม่')",เผือก,0.019666414796393167
"('หน่อย',)",เผือก,0.009253246753246753
"('ขอ', 'หน่อย')",เผือก,0.007897145679812494
"('แอบ',)",เผือก,0.009202944942381563
"('แอบ', 'เรื่อง')",เผือก,0.021319544709027975
"('ชอบ', 'อย่าง')",เผือก,0.01249612379858015
"('ความ', 'ทำงาน')",เผือก,0.011525598389943605
"('ชาว',)",เผือก,0.009106475716064757
"('ชาว', 'อยากรู้')",เผือก,0.00965340232138053
"('ต่อม', 'ไม่')",เผือก,0.019513750430758627
"('ต่อม', 'ขี้')",เผือก,0.02289088319696013
"('ขี้', 'ด้วย')",เผือก,0.018567649993598587
"('ไป', 'ให้')",เผือก,0.010530612384314408
"('อยาก', 'นะ')",เผือก,0.010514245397831636
"('เยอะ',)",เผือก,0.008907624633431085
"('ให้', 'เยอะ')",เผือก,0.006781528953765458
"('ทุก',)",เผือก,0.01165928964698262
"('เกิน',)",เผือก,0.008846375143843498
"('ขี้', 'เกิน')",เผือก,0.006739015701279854
"('ประหนึ่ง',)",เผือก,0.008806818181818183
"('ขี้', 'ประหนึ่ง')",เผือก,0.006710787081631072
"('ชอบ', 'เรื่อง')",เผือก,0.021023895333764208
"('หาเรื่อง',)",เผือก,0.008749302844394869
"('ใหม่',)",เผือก,0.008730598669623061
"('หาเรื่อง', 'ใหม่')",เผือก,0.0066562572287763135
"('เลย',)",เผือก,0.011486624463957526
"('ไป', 'เลย')",เผือก,0.008491749186819513
"('หยุด',)",เผือก,0.008658008658008658
"('หยุด', 'เรื่อง')",เผือก,0.020932210473296797
"('อยู่',)",เผือก,0.008622994652406417
